Date,Adj Close,Close,High,Low,Open,Volume
2026-01-06,3197.669921875,3255.800048828125,3263.199951171875,3205.0,3210.0,2912325
2026-01-07,3236.75927734375,3295.60009765625,3300.60009765625,3223.199951171875,3242.89990234375,1989442
2026-01-08,3146.6962890625,3203.89990234375,3286.89990234375,3182.0,3286.89990234375,4159336
2026-01-09,3150.52685546875,3207.800048828125,3229.699951171875,3191.0,3191.0,1938673
2026-01-12,3181.75927734375,3239.60009765625,3252.0,3174.300048828125,3203.0,2228342
2026-01-13,3209.652099609375,3268.0,3280.0,3210.5,3245.0,5645341
2026-01-14,3135.5,3192.5,3260.0,3183.0,3260.0,3539511
2026-01-15,3135.5,3192.5,3192.5,3192.5,3192.5,0
2026-01-16,3206.699951171875,3206.699951171875,3221.89990234375,3171.0,3219.39990234375,4293470
2026-01-19,3163.60009765625,3163.60009765625,3220.0,3152.10009765625,3188.0,3387562
2026-01-20,3102.300048828125,3102.300048828125,3160.0,3091.10009765625,3151.60009765625,4499273
2026-01-21,3122.60009765625,3122.60009765625,3138.5,3082.0,3100.0,2015150
2026-01-22,3150.39990234375,3150.39990234375,3160.0,3122.300048828125,3150.0,2269827
2026-01-23,3162.5,3162.5,3194.5,3152.0,3190.300048828125,2068857
2026-01-27,3158.0,3158.0,3175.0,3130.0,3175.0,4279874
2026-01-28,3200.10009765625,3200.10009765625,3205.199951171875,3170.60009765625,3176.0,2751234
2026-01-29,3144.39990234375,3144.39990234375,3200.10009765625,3125.60009765625,3200.10009765625,2457641
2026-01-30,3123.89990234375,3123.89990234375,3141.0,3092.0,3141.0,3022068
2026-02-02,3169.60009765625,3169.60009765625,3198.0,3134.0,3198.0,2636272
2026-02-03,3225.300048828125,3225.300048828125,3350.0,3186.300048828125,3350.0,4366060
2026-02-04,2999.10009765625,2999.10009765625,3120.0,2986.0,3120.0,10852595
2026-02-05,2991.5,2991.5,3029.699951171875,2972.300048828125,2990.0,3521545
2026-02-06,2941.60009765625,2941.60009765625,2985.0,2916.0,2976.60009765625,4687389
